"";"AGE";"SEXE";"REGION";"STAT_MARI";"SAL_HOR";"SYNDICAT";"CATEGORIE";"NIV_ETUDES";"NB_PERS";"NB_ENF";"REV_FOYER"
"93";38;"M";"S";"M";NA;NA;"Transports et Service";"BAC";5;3;"40 - < 60"
"94";28;"F";"W";"C";NA;NA;"Gestion et Vente";"BAC";3;0;"< 40"
"95";34;"F";"NE";"C";21;"non";"Employe";"BAC+2";3;0;">= 100"
"96";30;"F";"W";"M";10;NA;"Employe";"BAC";4;2;"60 - < 100"
"97";27;"M";"NW";"C";NA;"non";"Transports et Service";"BAC";4;0;"60 - < 100"
"98";23;"F";"W";"C";13;NA;"Profession liberale";"BAC";2;0;"60 - < 100"
"99";43;"F";"W";"M";37;NA;"Gestion et Vente";"BAC+3";2;0;"60 - < 100"
"100";25;"F";"NW";"M";NA;NA;"Gestion et Vente";"BAC+5";2;0;"60 - < 100"
"101";67;"M";"S";"M";10,5;"non";"Transports et Service";"BAC";3;0;"40 - < 60"
"102";20;"F";"NW";"C";NA;"non";"Transports et Service";"BAC";5;0;"60 - < 100"
"103";37;"M";"S";"M";NA;"oui";"Transports et Service";"BAC";2;0;"60 - < 100"
"104";60;"F";"NW";NA;16,75;NA;"Gestion et Vente";"BAC+3";1;0;"40 - < 60"
"105";41;"M";"NE";"M";NA;NA;"Construction et Maintenance";"BAC";5;2;NA
"106";47;"F";"NW";"M";50;"non";"Gestion et Vente";"BAC+3";4;2;">= 100"
"107";51;"F";"NW";"D";7,25;NA;"Transports et Service";"BAC";2;0;"< 40"
"108";50;"M";NA;"C";5;NA;"Transports et Service";"BAC";3;0;"40 - < 60"
"109";23;"M";"NE";"C";11;"non";"Transports et Service";"BAC";4;0;"60 - < 100"
"110";52;"F";"W";"C";25;NA;"Transports et Service";"BAC";1;0;"< 40"
"111";50;"F";"NE";"D";5;NA;"Transports et Service";"BAC";1;0;"< 40"
"112";26;"F";"W";"C";32;NA;"Profession liberale";"BAC+3";3;0;"< 40"
"113";59;"F";"S";"M";NA;NA;"Gestion et Vente";"BAC+5";3;0;">= 100"
"114";41;"M";"W";"M";19;"non";"Transports et Service";"BAC";4;2;"< 40"
"115";63;"F";NA;NA;NA;NA;NA;NA;2;NA;NA
"116";60;"M";"NE";"M";20;NA;"Profession liberale";"BAC";2;0;"60 - < 100"
"117";53;"F";"W";"M";12;NA;"Transports et Service";"BAC";4;1;"60 - < 100"
"118";64;"M";"S";"M";8;NA;"Transports et Service";"BAC";2;0;"60 - < 100"
"119";37;"F";NA;NA;10,25;NA;NA;NA;NA;NA;NA
"120";25;"M";"NE";"C";7,15;NA;"Transports et Service";"BAC";6;0;">= 100"
"121";24;"F";"W";"M";8,05;NA;"Transports et Service";"BAC";2;0;"40 - < 60"
"122";70;"F";"NE";NA;36;NA;NA;"BAC+5";NA;NA;NA
"123";35;"M";"S";"M";NA;NA;"Gestion et Vente";"BAC+2";5;2;"40 - < 60"
"124";45;"F";"S";"M";8;"non";"Transports et Service";"BAC";2;0;"< 40"
"125";52;"F";"S";"M";NA;NA;"Employe";"BAC";2;0;"60 - < 100"
"126";49;"M";"NE";"M";16,87;"oui";"Production et Agriculture";"BAC";4;0;"60 - < 100"
"127";54;"F";"NE";"M";20,2;NA;"Profession liberale";"BAC";3;0;"< 40"
"128";21;"F";"W";"C";NA;"non";NA;"BAC";2;0;"< 40"
"129";58;"M";"NE";"M";30;"non";"Transports et Service";"BAC";2;0;"40 - < 60"
"130";52;"M";NA;NA;NA;"non";"Production et Agriculture";"BAC";NA;NA;"60 - < 100"
"131";54;"F";"W";"M";NA;NA;"Employe";"BAC";4;0;"60 - < 100"
"132";18;"M";"S";"C";NA;NA;"Transports et Service";"BAC";6;0;">= 100"
"133";20;"F";"W";"C";15;NA;"Gestion et Vente";"BAC";4;0;">= 100"
"134";22;"F";"S";NA;NA;NA;"Gestion et Vente";"BAC";4;0;">= 100"
"135";61;"M";"NW";"M";21,43;NA;"Transports et Service";"BAC";2;0;"60 - < 100"
"136";51;"F";"W";"M";NA;NA;"Gestion et Vente";"BAC+2";4;1;">= 100"
"137";62;"F";NA;NA;NA;NA;NA;NA;1;NA;NA
"138";41;"M";"W";"C";12,5;NA;"Profession liberale";"BAC";1;0;"< 40"
"139";37;"F";"NE";"M";7,25;"non";"Transports et Service";"BAC";4;2;"< 40"
"140";26;"M";"S";"M";NA;"non";"Production et Agriculture";"BAC";2;0;"< 40"
"141";39;"M";"NE";"M";14,5;"non";"Construction et Maintenance";"BAC+2";3;1;"40 - < 60"
"142";48;"M";"S";"M";NA;"non";"Transports et Service";"Sans diplome";6;3;NA
"143";34;"M";"NE";"M";42,08;NA;"Construction et Maintenance";"BAC";4;2;">= 100"
"144";58;"M";"S";"M";9,15;NA;"Transports et Service";"Sans diplome";4;0;"60 - < 100"
"145";32;"F";NA;"M";NA;NA;NA;NA;NA;2;">= 100"
"146";49;"F";"NE";"M";15;NA;"Gestion et Vente";"BAC+2";NA;0;"< 40"
"147";36;"F";"W";"M";8,5;"non";"Transports et Service";"BAC";4;3;"< 40"
"148";35;"M";"S";"C";16;"non";"Employe";"BAC";2;0;"60 - < 100"
"149";51;"M";"W";"M";NA;NA;"Construction et Maintenance";"BAC";4;1;">= 100"
"150";54;"M";"NW";"M";30;NA;"Construction et Maintenance";"BAC";2;0;"60 - < 100"
"151";51;"M";"NE";"M";16,47;"non";"Profession liberale";"BAC";5;2;"60 - < 100"
"152";37;"F";"W";"M";74;NA;"Gestion et Vente";"BAC+8";5;0;">= 100"
"153";27;"F";"S";"C";NA;NA;"Transports et Service";"BAC";4;2;"< 40"
"154";46;"M";"NE";"M";30;NA;"Construction et Maintenance";"BAC";4;0;"< 40"
"155";56;"F";"S";"M";12,5;"non";"Gestion et Vente";"BAC";2;0;"< 40"
"156";58;"M";"S";"M";22;"non";"Construction et Maintenance";"BAC";2;0;"60 - < 100"
"157";53;"F";"NW";"M";15,35;"non";"Employe";"BAC";2;0;"40 - < 60"
"158";51;"M";"S";"M";22,75;NA;"Construction et Maintenance";"BAC";2;0;"< 40"
"159";50;"M";"NW";"M";16,75;"non";"Profession liberale";"BAC";4;0;"40 - < 60"
"160";46;"M";"W";"M";16;NA;"Transports et Service";"BAC";4;2;">= 100"
"161";44;"M";"S";"C";10,1;NA;"Production et Agriculture";"BAC";3;0;"40 - < 60"
"162";54;"M";"NE";"M";13,47;"non";"Profession liberale";"BAC+2";6;0;">= 100"
"163";43;"F";"S";"M";7,89;NA;"Profession liberale";"BAC";4;0;"60 - < 100"
"164";61;"M";"NE";"M";99;NA;"Profession liberale";"BAC+5";2;0;"60 - < 100"
"165";41;"M";"S";"M";2;NA;"Transports et Service";"BAC+3";2;0;"40 - < 60"
"166";57;"F";NA;NA;NA;NA;NA;NA;2;NA;NA
"167";26;"M";"NW";"M";18,5;NA;"Profession liberale";"BAC+3";3;1;"60 - < 100"
"168";44;"F";"NE";"D";NA;"non";"Profession liberale";"BAC";2;0;"60 - < 100"
"169";63;"M";"W";"M";NA;NA;"Transports et Service";"BAC+2";2;0;">= 100"
"170";26;"M";NA;NA;NA;"non";NA;"BAC";3;0;NA
"171";47;"F";"NW";"M";13;"non";"Employe";"BAC";3;1;"60 - < 100"
"172";35;"F";"NW";"M";NA;"non";"Gestion et Vente";"BAC+3";3;1;">= 100"
"173";27;"F";"W";"M";20;NA;"Gestion et Vente";"BAC+2";3;1;"60 - < 100"
"174";34;"M";"W";"C";8,25;NA;"Profession liberale";"BAC";3;0;"60 - < 100"
"175";33;"M";"W";"C";19;"non";NA;"BAC+2";4;0;"< 40"
"176";23;"M";"S";"C";9;NA;"Construction et Maintenance";"BAC";3;0;NA
"177";17;"F";"NE";"C";7,9;NA;"Transports et Service";"Sans diplome";5;0;"40 - < 60"
"178";37;"F";"S";"M";15;NA;"Profession liberale";"BAC+3";4;2;">= 100"
"179";48;"M";"NE";"M";17;NA;"Gestion et Vente";"BAC+2";4;1;">= 100"
"180";58;"F";"NW";"M";32;"non";"Gestion et Vente";"BAC+3";2;0;"< 40"
"181";46;"F";"W";"D";10;NA;"Gestion et Vente";"BAC+2";4;0;"< 40"
"182";60;"F";"NW";"C";13,9;NA;"Employe";"BAC+3";NA;0;"60 - < 100"
"183";52;"M";"NW";"D";32;NA;"Gestion et Vente";NA;1;0;">= 100"
"184";21;"F";"S";"C";7,25;"non";"Transports et Service";"Sans diplome";4;1;"40 - < 60"
"185";19;"M";"NW";"C";11;NA;"Employe";"BAC";5;0;"< 40"
"186";39;"M";NA;NA;NA;NA;NA;NA;NA;NA;NA
"187";57;"F";"S";"M";33;"oui";"Transports et Service";"BAC+3";3;0;">= 100"
"188";40;"M";"S";"M";20;NA;"Profession liberale";"BAC+5";2;0;">= 100"
"189";55;"F";"S";"D";11,41;NA;"Transports et Service";"BAC";3;0;"< 40"
"190";60;"M";"NE";"M";12;NA;"Employe";"BAC+2";2;0;"40 - < 60"
"191";51;"M";"S";"M";10;NA;"Construction et Maintenance";"Sans diplome";NA;0;"< 40"
"192";44;"M";"NE";"D";15;NA;"Transports et Service";"BAC";4;1;"60 - < 100"
"193";49;"M";"NW";"M";26;NA;"Construction et Maintenance";"BAC";2;0;"60 - < 100"
"194";32;"M";"W";"M";37,35;NA;"Construction et Maintenance";"BAC";1;0;"60 - < 100"
"195";63;"M";NA;NA;NA;NA;NA;"BAC+3";3;NA;NA
"196";47;"F";"NE";"C";13,28;NA;"Transports et Service";"BAC";2;0;"< 40"
"197";21;"F";"NW";"C";11;"non";"Employe";NA;3;0;"60 - < 100"
"198";35;"F";"NE";"C";19,16;NA;"Employe";"BAC";3;1;"40 - < 60"
"199";44;"F";"W";"M";26;NA;"Gestion et Vente";"BAC+3";6;2;">= 100"
"200";24;"M";"S";NA;NA;NA;"Employe";"BAC";2;0;"< 40"
"201";70;"M";"NW";"M";7,65;NA;"Transports et Service";"BAC";2;0;"40 - < 60"
"202";52;"M";"NE";"M";25;NA;"Production et Agriculture";"BAC";3;0;"60 - < 100"
"203";34;"M";"NW";"M";30;NA;"Gestion et Vente";"Autre";3;1;"60 - < 100"
"204";35;"M";"S";"M";NA;NA;"Construction et Maintenance";"BAC";3;1;"60 - < 100"
"205";44;"F";"W";"M";NA;NA;"Profession liberale";"BAC";4;2;">= 100"
"206";39;"F";"S";"S";47,47;NA;"Profession liberale";"BAC+3";2;1;"40 - < 60"
"207";35;"M";"NE";"M";35;NA;"Gestion et Vente";"BAC+8";4;2;"60 - < 100"
"208";35;"F";"NW";"M";17,35;"non";"Gestion et Vente";"BAC+3";2;0;">= 100"
"209";45;"F";"NE";"C";15;NA;"Profession liberale";"BAC+5";3;0;"< 40"
"210";43;"F";"W";"C";14,27;NA;"Transports et Service";"Sans diplome";3;1;"< 40"
